date:2024_01_13_Sat_17h_30min_43sec
sinwave
cells=55
total_calc_time=16639
fft_start_time=255
fft_length=16384
gaussian peak point=100
gaussian alpha=0.010000
angular frequency number=455
dx=0.000000025000000
fft peak number=15
gaussian peak,amplitude
151,1.298240663987389e-06
455,7.073014374935510e-04
759,8.499959896934067e-07
1061,2.841017578726100e-07
1066,2.678723895708564e-07
1366,2.245890184383526e-07
1669,1.585908863703048e-07
1973,1.070527918939703e-07
2276,1.106648582386123e-07
2578,7.029391382484305e-08
2583,6.955995715885429e-08
2883,7.683617119879482e-08
3186,6.924650371025851e-08
3490,5.457447522164548e-08
3793,6.188396940725039e-08
